text,class,mpr
"In the United States, and especially in Canada, the extent of the weakening in final domestic demand was unexpected.",1,1995-11-20
"Consequently, there was substantial inventory accumulation in both economies during the first quarter, and activity during the second and third quarters was held back by the need to work off those excess stocks.",1,1995-11-20
"However, both economies are showing signs of renewed activity in the housing and automobile markets, suggesting that domestic demand is responding to the decline in interest rates that has taken place since last spring.",2,1995-11-20
Lack of growth in aggregate demand in the first half of 1995 has led to an increase in excess capacity.,1,1995-11-20
It is especially difficult to measure potential output in these circumstances because growth in capacity can slow in response to increased uncertainty about future demand.,1,1995-11-20
"However, the Bank estimates that the output gap widened to between 3 and 3 1/2 per cent at midyear, compared with between 2 and 2 1/2 per cent at the end of 1994.",1,1995-11-20
"Accordingly, the downward pressure on trend inflation has clearly increased during the past six months.",2,1995-11-20
"Given the weight of imported goods in the average consumer basket in Canada, exchange rate movements typically feed through to the CPI by a factor of about one-fifth.",2,1995-11-20
"Much of this adjustment usually takes place during the first year following a change in the exchange rate, but the total effect can take two years or more to emerge.",2,1995-11-20
"Accordingly, past depreciation of the Canadian dollar continued to have a substantial impact on consumer prices over the last six months.",2,1995-11-20
"At the recent peak in inflation in May, this effect is estimated to have accounted for over 1 percentage point of the 2.7 per cent year-over-year measured increase in core CPI.",2,1995-11-20
"The clearest example of the exchange rate effect can once again be seen in motor vehicles, where the average price is up approximately 6 per cent from a year ago.",2,1995-11-20
The comparable figure for the United States is about 2 per cent.,2,1995-11-20
"In the cases of many other imported, or import-competing, consumer goods, the usual exchange rate effects appear to have been largely offset by increased competition and improved productivity in both the retail and the manufacturing sectors.",2,1995-11-20
World commodity prices (quoted in US dollars) have continued to rise over the past six months.,2,1995-11-20
"In Canada, these price increases have been felt in various ways by both producers and users of raw materials.",2,1995-11-20
"For Canadian producers, price increases have been most pronounced for newsprint, pulp and grains.",1,1995-11-20
Newsprint and pulp prices have surged as world demand continues to grow in the face of limited prospects for additional supply.,2,1995-11-20
Grain prices have jumped as a result of adverse growing conditions in the United States and in other foreign grain producing regions.,1,1995-11-20
"Prices for base metals have also resumed their advance, after experiencing a downward correction in the spring.",1,1995-11-20
"The rise in average prices received by Canadian commodity producers continued to be reflected in the aggregate industrial product price index , as well as in a further marked rise in aggregate export prices.",1,1995-11-20
"Nevertheless, the 7 per cent rise in the IPPI over the past year represents a substantial deceleration from the rates observed in early 1995.",2,1995-11-20
"The impact of commodity-price increases, evident for some time in producer prices, is now beginning to show up clearly in selected consumer prices.",2,1995-11-20
"Indeed, it is estimated that higher commodity prices have contributed about half a percentage point to the recent year-over-year measures of CPI inflation.",2,1995-11-20
"This effect should prove temporary, both because commodity prices should stabilize in the face of the current moderation in the pace of world economic expansion and because excess supply here in Canada should place downward pressure on trend inflation.",3,1995-11-20
The clearest examples of commodity-price effects on the CPI can be seen in the substantial price increases for both paper supplies and reading materials.,2,1995-11-20
"However, the rises in the costs of metals, chemicals and packaging materials imply that these effects are being felt more widely.",1,1995-11-20
Increased prices of commodities and of imported inputs have significantly raised costs for domestic producers.,1,1995-11-20
"Combined with weakening domestic demand in the first half of the year, this has increased the incentive for producers to control other costs and to try to raise productivity.",1,1995-11-20
"Wages, the largest component of total costs, continued to rise at a very moderate pace during the first half of 1995, with wage settlements averaging about 1.5 per cent in the private sector and just above zero in the public sector.",3,1995-11-20
"This represents something of an acceleration over last year for the private sector, but wage increases have followed substantial productivity gains in many areas.",2,1995-11-20
"More generally, aggregate employment levels and the unemployment rate have remained almost unchanged over the last six months.",2,1995-11-20
"With this persistent slack in the labour market, average wage growth is likely to remain modest.",2,1995-11-20
"Gains in productivity (output per person-hour) were particularly impressive during 1994, as firms restructured their operations and as the economic expansion gained strength (Parker 1995).",2,1995-11-20
"With wages advancing only modestly, profitability improved significantly in many sectors.",3,1995-11-20
"However, with the sudden slowdown in activity early in 1995, both labour productivity and profits levelled off over the first half of the year.",2,1995-11-20
"This is not an uncommon cyclical phenomenon, as firms tend to adjust labour inputs gradually to a sudden easing of demand, especially when it is widely believed to be temporary.",2,1995-11-20
This combination of some wage growth and weaker aggregate productivity has caused unit labour costs to rise recently.,1,1995-11-20
"However, it is expected that a resumption of the expansion later in the year will raise productivity further and that the effects of ongoing restructuring efforts will continue to emerge over time, thus helping to keep overall cost increases low.",2,1995-11-20
The gap between real wages and productivity continued to close in the first half of 1995.,2,1995-11-20
"This was mainly a result of the further increases in world commodity prices discussed above, which reduced producer wages in real terms for firms in affected sectors.",2,1995-11-20
This development should lead to some increase in employment growth in the coming quarters.,3,1995-11-20
"Aggregate price rises have also been restrained by lower housing prices, as higher interest rates early in the year caused many households to delay home purchases.",2,1995-11-20
Early signs of revival in the housing market suggest that this factor may also be temporary.,1,1995-11-20
"As explained in the previous Report, the Bank uses the concept of monetary conditions to guide its policy actions in response to changing economic circumstances.",2,1995-11-20
"Monetary conditions capture the influence of both short-term interest rates and the trade-weighted exchange rate on the economy, and the monetary conditions index constructed by the Bank provides a shorthand measure of the overall degree of tightness or ease of such conditions.",2,1995-11-20
The Bank constantly reassesses the level of monetary conditions necessary to achieve its inflation-control targets.,2,1995-11-20
"If, on balance, the analysis indicates a lessening of inflationary pressures relative to what had been expected (for example, because of lower-than-expected aggregate demand), the desired path for monetary conditions is revised downwards.",2,1995-11-20
"However, if inflation pressures have increased relative to earlier expectations, then desired monetary conditions are adjusted upwards.",1,1995-11-20
It is important to bear in mind that occasions arise when the Bank's actions cannot be devoted exclusively to achieving the desired monetary conditions in the short term because of the need to cope temporarily with actual or potential disorderly markets.,2,1995-11-20
"Towards the end of 1994 and in early 1995, higher US interest rates and increasing concerns about the high levels of public debt put downward pressure on the exchange rate and upward pressure on market interest rates.",2,1995-11-20
"The Bank responded with successive upward adjustments to its overnight target range, and monetary conditions tightened.",2,1995-11-20
"Even though the Bank acted primarily to calm markets, a tightening of monetary conditions was also judged appropriate at the time because there was evidence of stronger-than-expected momentum in the economy.",2,1995-11-20
"Subsequently, the positive reaction to the February 1995 federal budget provided a steadying influence in financial markets, and monetary conditions at the end of the first quarter were essentially unchanged from mid-January.",2,1995-11-20
"In the second quarter of 1995, the tone of Canadian financial markets improved, and the Canadian dollar strengthened.",3,1995-11-20
This reflected increasingly positive assessments of the fiscal situation for the provinces and for the federal government as well as heightened expectations of future declines in interest rates in the United States in response to the slowing of the US economy.,3,1995-11-20
"In early May, the improved market tone allowed the Bank to rebalance the mix of monetary conditions by offsetting the effect of the stronger exchange rate through a reduction of 25 basis points in its target range for the overnight interest rate.",3,1995-11-20
"It became increasingly apparent throughout the rest of the second quarter that the Canadian economy had not been expanding as expected, thus warranting an easing of monetary conditions.",3,1995-11-20
"The range for the overnight rate was lowered by 25 basis points on two occasions in early June, ratifying reductions in money market rates that had already taken place.",2,1995-11-20
"The decline in interest rates, combined with a somewhat lower Canadian dollar, contributed to a significant easing of monetary conditions.",2,1995-11-20
"Through the July-August period, there was a positive shift in sentiment towards North American currencies.",3,1995-11-20
"At the same time, the Canadian dollar was benefiting from a further improvement in our terms of trade.",3,1995-11-20
There was also a growing awareness that fiscal adjustment is proceeding and that Canada's inflation performance remains favourable.,3,1995-11-20
"In response to the firming of the dollar, there was a decline in short-term interest rates, which the Bank undertook to ratify.",3,1995-11-20
This action by the Bank involved reducing its operating range for the overnight rate by 25 basis points on four occasions (on 6 and 10 July and on 9 and 28 August) to a range of 6 to 6 1/2 per cent.,2,1995-11-20
"In taking these actions, the Bank proceeded cautiously because of the potential implications for the dollar of the narrowing Canada-US short-term interest rate spreads at a time of impending political uncertainty.",1,1995-11-20
"Indeed, the continuing wide long-term spreads suggested that financial markets remained sensitive to debt levels and to uncertainty regarding the Quebec referendum.",2,1995-11-20
"While overall market developments during this period moved towards a further rebalancing of monetary conditions, the net outcome was a tightening in monetary conditions as the declines in interest rates did not completely offset the currency appreciation.",2,1995-11-20
"In September, following the setting of the referendum date, volatility increased in money and foreign exchange markets.",1,1995-11-20
The Bank remained cautious and maintained its overnight rate unchanged at 6 to 6 1/2 per cent up to the 20 October cut-off date for information contained in this Report.,2,1995-11-20
"In assessing the outlook for inflation, the Bank must consider various factors, including the external economic environment, the momentum of the Canadian economy and the implications of monetary conditions for the future course of aggregate demand.",2,1995-11-20
"The single most important element in Canada's external environment is the US economy, as was clearly demonstrated during the first half of 1995 when activity in that country slowed.",2,1995-11-20
"That slowdown appears to have brought aggregate demand and supply in the US economy to a position of rough balance, paving the way for a more sustained period of low-inflation growth.",1,1995-11-20
"Consequently, the US economy appears to have solid underlying momentum in the second half of the year, and some pickup in growth can be expected as inventory adjustment is completed.",2,1995-11-20
"Overseas, the expansion is expected to continue but at a slower pace than previously forecast.",1,1995-11-20
It now appears that growth in Europe in 1995 will be similar to that experienced in 1994.,2,1995-11-20
"The situation in Japan is more uncertain, given financial system stresses and the strength of the yen earlier this year.",1,1995-11-20
"Nonetheless, with recent declines in interest rates, a weaker yen and several other policy initiatives, it seems likely that output in Japan will be up this year, albeit only modestly.",3,1995-11-20
"With a favourable outlook for the US economy and the prospect of moderate growth for the overseas economies, commodity prices are expected to remain firm.",3,1995-11-20
"Despite Canada's diversified industrial base, commodities continue to contribute strongly to economic activity.",2,1995-11-20
